#Generated from excel Sequence Generator on 5/08/2015 3:43:12 PM
&	400	100	400	100	400	100	400	100	400	100	400	100	400	100	400	100	400	100	400	100	1	1	1	1	1	1	1536	1	1	1	1598	
% 625
! DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, DUTY_OFF, DUTY_ON, READMINMAX, IMPEDANCE_MP145, IMPEDANCE_MP290, IMPEDANCE_MP580, IMPEDANCE_MP25, IMPEDANCE_CG145, WARMDOWN, COMPLIANCEON_A, COMPLIANCEON_B, COMPLIANCE_OFF, COMPLIANCE_WARMDOWN, 
@ 14_514_PCB1
*	13	0	31	-24	1	20	0	50	20	625	16
*	13	1	20	0	0	31	-24	50	20	625	16
*	13	0	31	-24	1	20	0	50	20	625	0
*	13	1	20	0	0	31	-24	50	20	625	0
*	14	1	20	350	1	20	700	50	20	625	0
*	14	2	20	350	2	20	700	50	20	625	0
*	14	3	20	350	3	20	700	50	20	625	0
*	14	4	20	350	4	20	700	50	20	625	0
*	14	5	20	350	5	20	700	50	20	625	0
*	14	6	20	350	1	20	700	50	20	625	0
*	14	7	20	350	4	20	700	50	20	625	0
*	14	8	20	350	1	20	700	50	20	625	0
*	14	9	20	350	1	20	700	50	20	625	0
*	14	10	20	350	5	20	700	50	20	625	0
*	14	11	20	350	1	20	700	50	20	625	0
*	14	12	20	350	1	20	700	50	20	625	0
*	14	13	20	350	23	23	0	50	20	625	0
*	14	14	20	350	23	23	0	50	20	625	0
*	14	15	20	350	23	23	0	50	20	625	0
*	14	16	20	350	23	23	0	50	20	625	0
*	15	0	31	-24	1	20	0	50	20	625	16
*	15	1	20	0	0	31	-24	50	20	625	16
*	15	0	31	-24	1	20	0	50	20	625	0
*	15	1	20	0	0	31	-24	50	20	625	0
*	16	1	20	400	1	20	800	50	20	625	0
*	16	2	20	400	2	20	800	50	20	625	0
*	16	3	20	400	3	20	800	50	20	625	0
*	16	4	20	400	4	20	800	50	20	625	0
*	16	5	20	400	5	20	800	50	20	625	0
*	16	6	20	400	1	20	800	50	20	625	0
*	16	7	20	400	4	20	800	50	20	625	0
*	16	8	20	400	1	20	800	50	20	625	0
*	16	9	20	400	1	20	800	50	20	625	0
*	16	10	20	400	5	20	800	50	20	625	0
*	16	11	20	400	1	20	800	50	20	625	0
*	16	12	20	400	1	20	800	50	20	625	0
*	16	13	20	400	23	23	0	50	20	625	0
*	16	14	20	400	23	23	0	50	20	625	0
*	16	15	20	400	23	23	0	50	20	625	0
*	16	16	20	400	23	23	0	50	20	625	0
*	17	0	31	-24	1	20	0	50	20	625	16
*	17	1	20	0	0	31	-24	50	20	625	16
*	17	0	31	-24	1	20	0	50	20	625	0
*	17	1	20	0	0	31	-24	50	20	625	0
*	18	1	20	450	1	20	900	50	20	625	0
*	18	2	20	450	2	20	900	50	20	625	0
*	18	3	20	450	3	20	900	50	20	625	0
*	18	4	20	450	4	20	900	50	20	625	0
*	18	5	20	450	5	20	900	50	20	625	0
*	18	6	20	450	1	20	900	50	20	625	0
*	18	7	20	450	4	20	900	50	20	625	0
*	18	8	20	450	1	20	900	50	20	625	0
*	18	9	20	450	1	20	900	50	20	625	0
*	18	10	20	450	5	20	900	50	20	625	0
*	18	11	20	450	1	20	900	50	20	625	0
*	18	12	20	450	1	20	900	50	20	625	0
